event_id,display_date,end_range,sort_year,age_ma,year_ce,nonlinear_time_bin,suggested_nonlinear_coordinate,headline,significance,event_category,knowledge_frame,regional_track,location,reef_system,why_it_matters,source_1_title,source_1_url,source_1_type,source_2_title,source_2_url,source_2_type,confidence,animation_priority,editorial_notes,category,category_group,evidence_type,is_projection,proj_year,proj_pub_year,proj_scenario,proj_quote,proj_quote_note,proj_undated,abstract_agreement,abstract_src,basic_headline,basic_significance,basic_why,basic_links
CR-142,2023,,2023.2,,2023,2014–2026,0.579784,Fourth global bleaching event begins,"Bleaching-level heat stress spreads through the Caribbean, eastern Pacific and later other basins.",Global bleaching event,Global monitoring,Global backbone,Global tropical reefs,Global reefs,Start of the largest global event on record.,"NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Fourth global bleaching event begins,Heat strong enough to cause bleaching spread through the Caribbean and the eastern Pacific. It later reached other ocean basins.,Start of the largest global event on record.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-143,2023,,2023.4,,2023,2014–2026,0.556303,Deep-sea origin analysis reframes coral bathymetric evolution,Phylogenetic biogeography supports repeated transitions between deep and shallow habitats.,Scientific finding,Evolutionary science,Deep / cold-water corals,Global,Scleractinian corals,Connects shallow reef vulnerability with deep evolutionary refugia.,"Campoy et al. (2023), Deep-sea origin and depth colonization of reef-building corals",https://doi.org/10.1038/s41467-023-43287-y,Primary phylogenetic research,"Vaga et al. (2025), A global coral phylogeny reveals resilience and vulnerability",https://doi.org/10.1038/s41586-025-09615-6,Primary phylogenetic research,High,Supporting,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,A study of deep sea origins rethinks how corals moved between depths,Researchers compared coral family trees with where the corals live. The results support corals moving between deep and shallow homes many times.,"It connects the danger facing shallow reefs with deep water, where corals have found safety over evolutionary time.","[{""t"": ""Do all corals live in warm water?"", ""u"": ""https://oceanexplorer.noaa.gov/ocean-fact/coral-water/"", ""p"": ""NOAA Ocean Exploration"", ""s"": ""Cold-water and deep-sea corals""}]"
CR-144,2024,,2024,,2024,2014–2026,0.477121,Great Barrier Reef records its largest bleaching footprint,"High-to-extreme bleaching is observed across all three GBR regions, followed by substantial mortality.",Bleaching event,Scientific monitoring,Great Barrier Reef / Coral Sea,Great Barrier Reef,Great Barrier Reef,Largest spatial footprint recorded on the GBR.,"AIMS (2025), Annual Summary Report of Coral Reef Condition 2024/25",https://www.aims.gov.au/monitoring-great-barrier-reef/gbr-condition-summary-2024-25,Official monitoring report,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,The Great Barrier Reef recorded its largest bleaching area,High to extreme bleaching was seen across all three regions of the Great Barrier Reef. A large number of corals died afterwards.,It is the largest area ever recorded on the Great Barrier Reef.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-145,2024,,2024.2,,2024,2014–2026,0.447158,Coral Sea and global reef monitoring scale up during an active mass event,"Coordinated aerial, in-water, satellite and automated-image surveys produce high-resolution event records.",Monitoring milestone,Scientific monitoring,Global / multiple regions,Global and Australian reefs,Global reefs,Signals a shift toward integrated real-time monitoring.,"AIMS (2025), Annual Summary Report of Coral Reef Condition 2024/25",https://www.aims.gov.au/monitoring-great-barrier-reef/gbr-condition-summary-2024-25,Official monitoring report,AIMS ReefCloud platform,https://reefcloud.ai/,Operational monitoring platform,High,Supporting,,"Experiment, method & monitoring",Knowledge,Field observation & monitoring,,,,,,,,,,Coral Sea and global reef monitoring grew during a live event,"Teams worked together, surveying from the air, in the water, by satellite and with automatic photo systems. Together they produced very detailed records of the event.",It signals a shift towards joined up monitoring that reports as things happen.,
CR-146,Apr-24,,2024.29,,2024,2014–2026,0.432969,NOAA and ICRI declare the fourth global bleaching event,Heat stress and documented bleaching across major basins meet the formal criteria for a global event.,Global bleaching event,Global monitoring,Global backbone,Global tropical reefs,Global reefs,Official recognition of an event already underway since 2023.,"NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,NOAA and ICRI declare the fourth global bleaching event,Heat stress and recorded bleaching across the major ocean basins met the official rules for a global event.,It was official recognition of an event that had already been under way since 2023.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-147,2025,,2025,,2025,2014–2026,0.30103,Fourth global event becomes the largest on record,NOAA reports bleaching-level heat stress across about 84.4% of global reef area and confirmed mass bleaching in at least 83 countries and territories.,Global bleaching event,Global monitoring,Global backbone,Global tropical reefs,Global reefs,Surpasses the 2014–2017 event in spatial exposure.,"NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Fourth global event becomes the largest on record,NOAA reported heat strong enough to cause bleaching across about 84.4% of the world's reef area. Mass bleaching was confirmed in at least 83 countries and territories.,More reef area was affected than in the event of 2014 to 2017.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-148,2025,,2025.2,,2025,2014–2026,0.255273,Consecutive mass bleaching returns to the Great Barrier Reef,"A 2025 event follows the severe 2024 summer, especially affecting northern sectors.",Bleaching event,Scientific monitoring,Great Barrier Reef / Coral Sea,Northern and central GBR,Great Barrier Reef,Second sequence of consecutive GBR events after 2016–2017.,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,"AIMS (2025), Annual Summary Report of Coral Reef Condition 2024/25",https://www.aims.gov.au/monitoring-great-barrier-reef/gbr-condition-summary-2024-25,Official monitoring report,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Mass bleaching hit the Great Barrier Reef two years in a row,An event in 2025 followed the severe summer of 2024. The northern parts of the reef were especially affected.,"It is the second run of back to back events on the Great Barrier Reef, after 2016 and 2017.","[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-149,2025,,2025.3,,2025,2014–2026,0.230449,"Western Australia experiences extraordinary, widespread bleaching","Ningaloo, Pilbara, Kimberley, Rowley Shoals and offshore reefs experience moderate to extreme bleaching over thousands of kilometres.",Bleaching event,Scientific monitoring,Indian Ocean / Red Sea / Gulf,Western Australia,"Ningaloo, Kimberley and offshore reefs",First recorded mass bleaching for some remote reef regions.,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,"Le Nohaïc et al. (2017), Mass bleaching of thermally resistant corals in NW Australia",https://doi.org/10.1038/s41598-017-14794-y,Primary field study,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Western Australia had extraordinary and widespread bleaching,"Ningaloo, the Pilbara, the Kimberley, Rowley Shoals and offshore reefs all bleached. The bleaching ran from moderate to extreme and stretched over thousands of kilometres.","For some remote reef regions, it was the first mass bleaching ever recorded.","[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-150,2025,,2025.5,,2025,2014–2026,0.176091,AIMS reports sharp coral-cover declines after the 2024 GBR event,"Regional hard-coral cover falls 14–30%, with some individual reefs losing far more.",Scientific finding,Long-term monitoring,Great Barrier Reef / Coral Sea,Great Barrier Reef,Great Barrier Reef,Converts bleaching observations into measured post-event mortality.,"AIMS (2025), Annual Summary Report of Coral Reef Condition 2024/25",https://www.aims.gov.au/monitoring-great-barrier-reef/gbr-condition-summary-2024-25,Official monitoring report,"De’ath et al. (2012), The 27-year decline of coral cover on the Great Barrier Reef",https://doi.org/10.1073/pnas.1208909109,Primary monitoring analysis,High,Core,,Science & discovery,Knowledge,Field observation & monitoring,,,,,,,,,,AIMS reports sharp falls in coral cover after the 2024 event,"Across regions, the seabed covered by hard coral fell by 14 to 30%. Some individual reefs lost far more than that.",It turns observations of bleaching into measured coral deaths after the event.,"[{""t"": ""NOAA Coral Reef Watch Program"", ""u"": ""https://coralreefwatch.noaa.gov/product/5km/tutorial/crw10a_dhw_product.php"", ""p"": ""NOAA Coral Reef Watch"", ""s"": ""How scientists watch reefs and reef heat stress""}, {""t"": ""Monitoring the Great Barrier Reef"", ""u"": ""https://www.aims.gov.au/research-topics/monitoring-and-discovery/monitoring-great-barrier-reef"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""How scientists watch reefs and reef heat stress""}]"
CR-151,2025,,2025.7,,2025,2014–2026,0.113943,Largest global coral phylogeny rewrites deep-time origins,Hundreds of newly sequenced taxa push inferred scleractinian ancestry to roughly 460 Ma and photosymbiosis to around 300 Ma.,Scientific finding,Genomics / phylogenetics,Global backbone,Global,Scleractinian corals,Major revision of when and where the coral lineage originated.,"Vaga et al. (2025), A global coral phylogeny reveals resilience and vulnerability",https://doi.org/10.1038/s41586-025-09615-6,Primary phylogenetic research,"Stolarski et al. (2011), Ancient evolutionary origins of Scleractinia",https://doi.org/10.1186/1471-2148-11-316,Primary phylogenetic research,High,Core,,Science & discovery,Knowledge,Genomic & laboratory science,,,,,,,,,,Biggest coral family tree pushes coral origins much further back,Scientists read the DNA of hundreds more coral types and built the largest coral family tree. It suggests hard corals go back roughly 460 million years. It also suggests corals began living with tiny algae inside them around 300 million years ago.,It is a big change to when and where the coral line began.,
CR-152,30-Sep-25,,2025.75,,2025,2014–2026,0.09691,Bleaching-level heat exposure stops expanding globally,NOAA’s 2026 update uses this date as the endpoint of the fourth event’s expanding global footprint.,Global bleaching event,Global monitoring,Global backbone,Global tropical reefs,Global reefs,Provides a provisional end date for animation and comparison.,"NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,High,Core,NOAA says the event “likely ended” in 2025; impacts and recovery continue.,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,The spread of bleaching level heat around the world stops,NOAA's 2026 update uses this date as the point where the fourth bleaching event stopped spreading to new parts of the world. Bleaching is when heat stress turns corals white.,"It gives a rough end date, for now, that can be used for animation and for comparison.","[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-153,2025–2026,ongoing,2025.8,,2025,2014–2026,0.079181,Computer-vision reef datasets accelerate automated monitoring,Large expert-annotated image datasets improve segmentation and scalable analysis of benthic communities.,Technology / methods,AI and imaging,Global backbone,Global reef imagery,Global reefs,Supports the future animated timeline’s data-rich monitoring era.,"Sauder et al. (2025), The Coralscapes Dataset",https://arxiv.org/abs/2503.20000,Primary dataset/preprint,"Beijbom et al. (2012), Automated annotation of coral reef survey images",https://doi.org/10.1109/CVPR.2012.6247798,Primary computer-vision methods,High,Supporting,,"Experiment, method & monitoring",Knowledge,Remote sensing & imaging,,,,,,,,,,New reef photo sets help computers watch reefs automatically,Experts labelled large sets of reef photos by hand. Computers can use them to pick out and outline what is in each picture. That makes it easier to study the life on the sea floor across many reefs at once.,It helps build the data rich monitoring part of the future animated timeline.,
CR-154,2-Jun-26,,2026.42,,2026,2014–2026,-0.236572,NOAA says the fourth global bleaching event likely ended in 2025,The status update retains 84.4% global reef-area exposure and at least 83 affected countries and territories.,Monitoring milestone,Global monitoring,Global backbone,Global tropical reefs,Global reefs,Current authoritative status point for the timeline.,"NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,"Australian Institute of Marine Science, Coral bleaching events",https://www.aims.gov.au/research-topics/environmental-issues/coral-bleaching/coral-bleaching-events,Official monitoring synthesis,High,Core,,"Experiment, method & monitoring",Knowledge,Field observation & monitoring,,,,,,,,,,NOAA says the fourth global bleaching event likely ended in 2025,"The update keeps the same figures as before. About 84.4% of the world's reef area was exposed, and at least 83 countries and territories were affected.",It is the most up to date official status point for the timeline.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
PJ-001,2030,,2030,,2030,Projected: 2027–2100,,IPCC finds conservation alone cannot protect reefs beyond 2030,"AR6 Working Group II concludes that even under the lowest emissions pathway assessed, SSP1-2.6, reefs face widespread decline and a shift to net erosion by mid-century.",Projection,Model projection,Global / multiple regions,Global / multiple regions,Global / multiple regions,"Sets the limit of what reef management can achieve on its own: past about 2030 the outcome is decided by emissions, not by protection.","IPCC AR6 Working Group II, Chapter 3: Oceans and Coastal Ecosystems and Their Services (2022)",https://doi.org/10.1017/9781009325844.005,Intergovernmental assessment,,,,High,Core,Projection. Placed at its stated projection year; see proj_* columns.,"People, records & policy",People & policy,Published analysis & synthesis,yes,2030,2023,SSP1-2.6,"Under SSP1-2.6, coral reefs are at risk of widespread decline, loss of structural integrity and transitioning to net erosion by mid-century due to increasing intensity and frequency of marine heatwaves (very high confidence).","IPCC AR6 WGII Chapter 3, Executive Summary. A second statement in the same section reads “conservation and restoration alone will be insufficient to protect coral reefs beyond 2030 (high confidence)”.",,"not applicable — report chapter, no abstract",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-3/,Protecting reefs on its own cannot save them past 2030 says IPCC,"An IPCC report found that even under the lowest emissions path it looked at, called SSP1-2.6, reefs face wide decline. It also expects reefs to start wearing away faster than they build by the middle of the century.","It shows the limit of what reef management can do alone. After about 2030 the outcome is decided by emissions, not by protection.","[{""t"": ""Scenarios and climate models"", ""u"": ""https://www.canada.ca/en/environment-climate-change/services/climate-change/canadian-centre-climate-services/basics/scenario-models.html"", ""p"": ""Government of Canada, Canadian Centre for Climate Services"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}, {""t"": ""The Paris Agreement | United Nations"", ""u"": ""https://www.un.org/en/climatechange/paris-agreement"", ""p"": ""United Nations"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}]"
PJ-002,2034,,2034,,2034,Projected: 2027–2100,,99% of reefs pass the five-yearly severe bleaching threshold by 2034 under high emissions,"Kilometre-scale projections put 91% of reefs already past the ten-yearly severe bleaching threshold in 2021, and almost all reefs past the five-yearly threshold within about a decade under SSP5-8.5.",Projection,Model projection,Global / multiple regions,Global / multiple regions,Global / multiple regions,"The earliest date in this set, and the one that treats widespread long-term degradation as already committed rather than avoidable.","Kalmus et al. (2022), Past the Precipice? Projected Coral Habitability Under Global Heating",https://doi.org/10.1029/2021EF002608,Primary modelling study,,,,High,Core,Projection. Placed at its stated projection year; see proj_* columns.,Bleaching & heat stress,Reef change,Remote sensing & imaging,yes,2034,2022,"SSP5-8.5 (2034), SSP3-7.0 (2036), SSP2-4.5 (2040)","We project 99% of 1 km² reefs to exceed TD5Y by 2034, 2036, and 2040 under SSP5-8.5, SSP3-7.0, and SSP2-4.5 respectively.",,,identical,Crossref (api.crossref.org),Under high emissions 99% of reefs could bleach severely every five years by 2034,"Projections at about one kilometre scale looked at severe bleaching, when heat turns corals white. They put 91% of reefs already past the point of severe bleaching once every ten years in 2021. Under the high emissions path SSP5-8.5, almost all reefs pass the once every five years point within about a decade.","It is the earliest date in this set. It treats wide, long lasting damage as already locked in rather than avoidable.","[{""t"": ""Scenarios and climate models"", ""u"": ""https://www.canada.ca/en/environment-climate-change/services/climate-change/canadian-centre-climate-services/basics/scenario-models.html"", ""p"": ""Government of Canada, Canadian Centre for Climate Services"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}, {""t"": ""The Paris Agreement | United Nations"", ""u"": ""https://www.un.org/en/climatechange/paris-agreement"", ""p"": ""United Nations"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}]"
PJ-003,2040,,2040,,2040,Projected: 2027–2100,,Most western Atlantic reefs turn from building to eroding by 2040,Fossil reef deposits at more than 400 sites constrain how fast these reefs can grow; more than 70% are projected to be losing carbonate faster than they make it within about fifteen years.,Projection,Model projection,Caribbean / Florida,Caribbean / Florida,Caribbean / Florida,"Erosion, not bleaching, is what raises water depth over a reef, and water depth is what governs how much wave energy reaches the coast behind it.","Perry et al. (2025), Reduced Atlantic reef growth past 2 °C warming amplifies sea-level impacts",https://doi.org/10.1038/s41586-025-09439-4,Primary fossil-data analysis,,,,High,Core,Projection. Placed at its stated projection year; see proj_* columns.,Crisis & decline,Reef change,Geological & fossil evidence,yes,2040,2025,SSP2-4.5 and higher (warming above 2°C),"Our analysis predicts that more than 70% of tropical western Atlantic reefs will transition into net erosional states by 2040, but that if warming exceeds 2 °C (SSP2–4.5 and higher), nearly all reefs (at least 99%) will be eroding by 2100.",,,prefix-identical,https://www.nature.com/articles/s41586-025-09439-4,Most western Atlantic reefs could start wearing away by 2040,"Fossil reef remains at more than 400 sites show how fast these reefs can grow. More than 70% are projected to lose the stony material they are built from faster than they make it, within about fifteen years.","Wearing away, not bleaching, is what makes the water over a reef deeper. Water depth controls how much wave energy reaches the coast behind the reef.","[{""t"": ""What is Ocean Acidification?"", ""u"": ""https://oceanservice.noaa.gov/facts/acidification.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""Ocean acidification and coral skeletons""}, {""t"": ""Ocean Acidification"", ""u"": ""https://ocean.si.edu/ocean-life/invertebrates/ocean-acidification"", ""p"": ""Smithsonian Ocean"", ""s"": ""Ocean acidification and coral skeletons""}]"
PJ-004,2050,,2050,,2050,Projected: 2027–2100,,"Great Barrier Reef coral declines sharply by mid-century, but can still recover below 2°C","An eco-evolutionary simulation of 3,800 individual reefs finds rapid decline by mid-century under every emissions scenario, and recovery within this century only if warming stays under 2°C so thermal adaptation can keep pace.",Projection,Model projection,Great Barrier Reef / Coral Sea,Great Barrier Reef / Coral Sea,Great Barrier Reef / Coral Sea,"One of the few projections in which the reef still has a route back, and it depends entirely on how fast warming is stopped.","Bozec et al. (2025), A rapidly closing window for coral persistence under global warming",https://doi.org/10.1038/s41467-025-65015-4,Primary modelling study,,,,High,Core,Projection. Placed at its stated projection year; see proj_* columns.,Recovery & resilience,Reef change,Published analysis & synthesis,yes,2050,2025,all emissions scenarios; recovery only below 2°C,"We project a rapid coral decline by mid-century under all emission scenarios, with further decline under the most likely warming trajectory. However, recovery is possible this century if warming remains below 2 °C, allowing thermal adaptation to keep pace.",,,identical,https://www.nature.com/articles/s41467-025-65015-4,Great Barrier Reef coral could drop sharply but recover below 2°C,"A computer model followed 3,800 separate reefs and how their corals change and adapt over time. It shows a fast decline by the middle of the century under every emissions scenario. Corals recover within this century only if warming stays under 2°C, so they can adapt to the heat fast enough.",It is one of the few projections where the reef still has a way back. That depends entirely on how fast warming is stopped.,"[{""t"": ""Scenarios and climate models"", ""u"": ""https://www.canada.ca/en/environment-climate-change/services/climate-change/canadian-centre-climate-services/basics/scenario-models.html"", ""p"": ""Government of Canada, Canadian Centre for Climate Services"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}, {""t"": ""The Paris Agreement | United Nations"", ""u"": ""https://www.un.org/en/climatechange/paris-agreement"", ""p"": ""United Nations"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}]"
PJ-005,2050,,2050,,2050,Projected: 2027–2100,,Most atoll islands become uninhabitable around the middle of this century,"Reefs that stop growing let more wave energy across the reef flat. Combined with sea-level rise, that is projected to flood most atoll islands every year, ruining infrastructure and the freshwater lenses beneath them.",Projection,Model projection,Central / Eastern Pacific,Central / Eastern Pacific,Central / Eastern Pacific,"The clearest statement in the literature that reef decline is a habitability problem for people, not only an ecological one.","Storlazzi et al. (2018), Most atolls will be uninhabitable by the mid-21st century because of sea-level rise exacerbating wave-driven flooding",https://doi.org/10.1126/sciadv.aap9741,Primary modelling study,,,,High,Core,Projection. Placed at its stated projection year; see proj_* columns.,"People, records & policy",People & policy,Published analysis & synthesis,yes,2050,2018,current greenhouse gas emission rates,"We show that, on the basis of current greenhouse gas emission rates, the nonlinear interactions between sea-level rise and wave dynamics over reefs will lead to the annual wave-driven overwash of most atoll islands by the mid-21st century.",The paper says “mid-21st century” rather than naming a year; it is placed at 2050 on that basis.,,identical,https://pubs.usgs.gov/publication/70196699,Most atoll islands could become impossible to live on by mid century,"Reefs that stop growing let more wave energy cross the flat top of the reef. Together with sea level rise, that is projected to flood most atoll islands every year. The flooding would ruin buildings and roads and the fresh water held underground beneath them.","It is the clearest statement in the research that reef decline is about whether people can live there, not only about nature.","[{""t"": ""Is sea level rising?"", ""u"": ""https://oceanservice.noaa.gov/facts/sealevel.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""Sea-level rise, reefs and the coasts and islands they shelter""}, {""t"": ""How do coral reefs protect lives and property?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_protect.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""Sea-level rise, reefs and the coasts and islands they shelter""}]"
PJ-006,2070,,2070,,2070,Projected: 2027–2100,,"Three quarters of reefs bleach severely every year before 2070, even on the Paris pledges",The first 4 km-resolution global projection of annual severe bleaching. Cutting emissions from RCP8.5 to RCP4.5 buys reefs an average of only eleven years.,Projection,Model projection,Global / multiple regions,Global / multiple regions,Global / multiple regions,"Established that the Paris pledges, as made, do little to give reefs time to adapt, and that the timing varies by more than a decade between neighbouring countries.","van Hooidonk et al. (2016), Local-scale projections of coral reef futures and implications of the Paris Agreement",https://doi.org/10.1038/srep39666,Primary modelling study,,,,High,Core,Projection. Placed at its stated projection year; see proj_* columns.,Bleaching & heat stress,Reef change,Remote sensing & imaging,yes,2070,2016,RCP4.5 (compared with RCP8.5),"RCP4.5 adds 11 years to the global average ASB timing when compared to RCP8.5; however, >75% of reefs still experience ASB before 2070 under RCP4.5.",,,identical,https://www.nature.com/articles/srep39666,Three quarters of reefs could bleach severely each year before 2070 despite Paris pledges,This was the first global projection of yearly severe bleaching at 4 km resolution. Cutting emissions from RCP8.5 to RCP4.5 gives reefs only about eleven extra years on average.,"It showed that the Paris pledges, as they were made, do little to give reefs time to adapt. It also showed the timing varies by more than ten years between neighbouring countries.","[{""t"": ""Scenarios and climate models"", ""u"": ""https://www.canada.ca/en/environment-climate-change/services/climate-change/canadian-centre-climate-services/basics/scenario-models.html"", ""p"": ""Government of Canada, Canadian Centre for Climate Services"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}, {""t"": ""The Paris Agreement | United Nations"", ""u"": ""https://www.un.org/en/climatechange/paris-agreement"", ""p"": ""United Nations"", ""s"": ""What climate projections, emissions scenarios and warming limits mean""}]"
